Benchmark,Run Mode,Status,Comments
500.perlbench_r,intspeed,Success,
502.gcc_r,intspeed,Success,
505.mcf_r,intspeed,Success,
520.omnetpp_r,intspeed,Success,
523.xalancbmk_r,intspeed,Success,
525.x264_r,intspeed,Success,
531.deepsjeng_r,intspeed,Success,
541.leela_r,intspeed,Success,
557.xz_r,intspeed,Success,
999.specrand_ir,intspeed,Success,
548.exchange2_r,intspeed,Error,
600.perlbench_s,fpspeed,Success,
602.gcc_s,fpspeed,Success,
605.mcf_s,fpspeed,Success,
620.omnetpp_s,fpspeed,Success,
623.xalancbmk_s,fpspeed,Success,
625.x264_s,fpspeed,Success,
631.deepsjeng_s,fpspeed,Success,
641.leela_s,fpspeed,Success,
657.xz_s,fpspeed,Success,
998.specrand_is,fpspeed,Success,
648.exchange2_s,fpspeed,Error,
603.bwaves_s,fpspeed,Build Error,"base; CE"
607.cactuBSSN_s,fpspeed,Build Error,"base; CE"
621.wrf_s,fpspeed,Build Error,"base; CE"
627.cam4_s,fpspeed,Build Error,"base; CE"
628.pop2_s,fpspeed,Build Error,"base; CE"
649.fotonik3d_s,fpspeed,Build Error,"base; CE"
654.roms_s,fpspeed,Build Error,"base; CE"
503.bwaves_r,fprate,Build Error,"base; CE"
507.cactuBSSN_r,fprate,Build Error,"base; CE"
508.namd_r,fprate,Build Error,"base; CE"
510.parest_r,fprate,Build Error,"base; CE"
511.povray_r,fprate,Build Error,"base; CE"
519.lbm_r,fprate,Build Error,"base; CE"
521.wrf_r,fprate,Build Error,"base; CE"
526.blender_r,fprate,Build Error,"base; CE"
527.cam4_r,fprate,Build Error,"base; CE"
538.imagick_r,fprate,Build Error,"base; CE"
544.nab_r,fprate,Build Error,"base; CE"
549.fotonik3d_r,fprate,Build Error,"base; CE"
554.roms_r,fprate,Build Error,"base; CE"
997.specrand_fr,fprate,Build Error,"base; CE"
